# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	23	1534	+					dnaA		CELGI_RS00005	1512		old_locus_tag=Celgi_0001
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	23	1534	+	WP_013882065.1	WP_013882065.1		chromosomal replication initiator protein DnaA	dnaA		CELGI_RS00005	1512	503	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	2223	3353	+					dnaN		CELGI_RS00010	1131		old_locus_tag=Celgi_0002
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	2223	3353	+	WP_013882066.1	WP_013882066.1		DNA polymerase III subunit beta	dnaN		CELGI_RS00010	1131	376	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	3460	4347	+					gnd		CELGI_RS00015	888		old_locus_tag=Celgi_0003
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	3460	4347	+	WP_013882067.1	WP_013882067.1		decarboxylating 6-phosphogluconate dehydrogenase	gnd		CELGI_RS00015	888	295	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	4355	5536	+					recF		CELGI_RS00020	1182		old_locus_tag=Celgi_0004
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	4355	5536	+	WP_013882068.1	WP_013882068.1		DNA replication/repair protein RecF	recF		CELGI_RS00020	1182	393	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	5526	6074	+							CELGI_RS00025	549		old_locus_tag=Celgi_0005
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	5526	6074	+	WP_013882069.1	WP_013882069.1		DciA family protein			CELGI_RS00025	549	182	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	6270	8294	+					gyrB		CELGI_RS00030	2025		old_locus_tag=Celgi_0006
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	6270	8294	+	WP_013882070.1	WP_013882070.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CELGI_RS00030	2025	674	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	8351	10972	+					gyrA		CELGI_RS00035	2622		old_locus_tag=Celgi_0007
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	8351	10972	+	WP_013882071.1	WP_013882071.1		DNA gyrase subunit A	gyrA		CELGI_RS00035	2622	873	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	11119	11877	+							CELGI_RS00040	759		old_locus_tag=Celgi_0008
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	11119	11877	+	WP_245528122.1	WP_245528122.1		DUF3566 domain-containing protein			CELGI_RS00040	759	252	
gene	tRNA	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	11955	12028	+							CELGI_RS00045	74		old_locus_tag=Celgi_R0001
tRNA		GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	11955	12028	+				tRNA-Ile			CELGI_RS00045	74		anticodon=GAT
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12052	12171	+							CELGI_RS17440	120		old_locus_tag=Celgi_0009
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12052	12171	+	WP_013882073.1	WP_013882073.1		DLW-39 family protein			CELGI_RS17440	120	39	
gene	tRNA	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12213	12288	+							CELGI_RS00050	76		old_locus_tag=Celgi_R0002
tRNA		GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12213	12288	+				tRNA-Ala			CELGI_RS00050	76		anticodon=TGC
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12329	13525	-							CELGI_RS00055	1197		old_locus_tag=Celgi_0010
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	12329	13525	-	WP_013882074.1	WP_013882074.1		benzoate/H(+) symporter BenE family transporter			CELGI_RS00055	1197	398	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	13654	14916	+							CELGI_RS00060	1263		old_locus_tag=Celgi_0011
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	13654	14916	+	WP_013882075.1	WP_013882075.1		carboxypeptidase-like regulatory domain-containing protein			CELGI_RS00060	1263	420	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	14930	15493	-							CELGI_RS00065	564		old_locus_tag=Celgi_0012
CDS	with_protein	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	14930	15493	-	WP_013882076.1	WP_013882076.1		hypothetical protein			CELGI_RS00065	564	187	
gene	protein_coding	GCF_000218545.1	Primary Assembly	chromosome		NC_015671.1	15620	16555	+							CELGI_RS00070	936		old_locus_tag=Celgi_0013
