# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	781	2349	-					dnaA		LFM56_RS00005	1569		old_locus_tag=LFM56_00005
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	781	2349	-	WP_226237918.1	WP_226237918.1		chromosomal replication initiator protein DnaA	dnaA		LFM56_RS00005	1569	522	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	2893	3030	+					rpmH		LFM56_RS00010	138		old_locus_tag=LFM56_00010
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	2893	3030	+	WP_043601468.1	WP_043601468.1		50S ribosomal protein L34	rpmH		LFM56_RS00010	138	45	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3042	3413	+					rnpA		LFM56_RS00015	372		old_locus_tag=LFM56_00015
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3042	3413	+	WP_226237920.1	WP_226237920.1		ribonuclease P protein component	rnpA		LFM56_RS00015	372	123	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3410	3697	+					yidD		LFM56_RS00020	288		old_locus_tag=LFM56_00020
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3410	3697	+	WP_082740305.1	WP_082740305.1		membrane protein insertion efficiency factor YidD	yidD		LFM56_RS00020	288	95	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3720	4841	+					yidC		LFM56_RS00025	1122		old_locus_tag=LFM56_00025
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	3720	4841	+	WP_226237922.1	WP_226237922.1		membrane protein insertase YidC	yidC		LFM56_RS00025	1122	373	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	4906	5421	+							LFM56_RS00030	516		old_locus_tag=LFM56_00030
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	4906	5421	+	WP_046529676.1	WP_046529676.1		single-stranded DNA-binding protein			LFM56_RS00030	516	171	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	10834	11511	+					rsmG		LFM56_RS00035	678		old_locus_tag=LFM56_00035
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	10834	11511	+	WP_226237924.1	WP_226237924.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		LFM56_RS00035	678	225	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	12634	13545	+							LFM56_RS00040	912		old_locus_tag=LFM56_00040
CDS	with_protein	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	12634	13545	+	WP_226239505.1	WP_226239505.1		ParA family protein			LFM56_RS00040	912	303	
gene	protein_coding	GCF_020412445.1	Primary Assembly	chromosome		NZ_CP084585.1	13542	14678	+							LFM56_RS00045	1137		old_locus_tag=LFM56_00045
