# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69	1571	+					dnaA		CELF_RS00005	1503		old_locus_tag=Celf_0001
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69	1571	+	WP_013769183.1	WP_013769183.1		chromosomal replication initiator protein DnaA	dnaA		CELF_RS00005	1503	500	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	2401	3531	+					dnaN		CELF_RS00010	1131		old_locus_tag=Celf_0002
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	2401	3531	+	WP_013769184.1	WP_013769184.1		DNA polymerase III subunit beta	dnaN		CELF_RS00010	1131	376	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	3631	4578	+					gnd		CELF_RS00015	948		old_locus_tag=Celf_0003
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	3631	4578	+	WP_013769185.1	WP_013769185.1		decarboxylating 6-phosphogluconate dehydrogenase	gnd		CELF_RS00015	948	315	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	4688	5959	+					recF		CELF_RS00020	1272		old_locus_tag=Celf_0004
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	4688	5959	+	WP_013769186.1	WP_013769186.1		DNA replication/repair protein RecF	recF		CELF_RS00020	1272	423	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	5949	6536	+							CELF_RS00025	588		old_locus_tag=Celf_0005
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	5949	6536	+	WP_013769187.1	WP_013769187.1		DciA family protein			CELF_RS00025	588	195	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	6752	8800	+					gyrB		CELF_RS00030	2049		old_locus_tag=Celf_0006
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	6752	8800	+	WP_013769188.1	WP_013769188.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CELF_RS00030	2049	682	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	8867	11479	+					gyrA		CELF_RS00035	2613		old_locus_tag=Celf_0007
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	8867	11479	+	WP_013769189.1	WP_013769189.1		DNA gyrase subunit A	gyrA		CELF_RS00035	2613	870	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	11476	12312	+							CELF_RS00040	837		old_locus_tag=Celf_0008
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	11476	12312	+	WP_013769190.1	WP_013769190.1		DUF3566 domain-containing protein			CELF_RS00040	837	278	
gene	tRNA	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12410	12483	+							CELF_RS00045	74		old_locus_tag=Celf_R0001
tRNA		GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12410	12483	+				tRNA-Ile			CELF_RS00045	74		anticodon=GAT
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12507	12626	+							CELF_RS20845	120		old_locus_tag=Celf_0009
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12507	12626	+	WP_013769191.1	WP_013769191.1		DLW-39 family protein			CELF_RS20845	120	39	
