# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	143	1732	+					dnaA		E5225_RS00005	1590		old_locus_tag=E5225_00005
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	143	1732	+	WP_135972194.1	WP_135972194.1		chromosomal replication initiator protein DnaA	dnaA		E5225_RS00005	1590	529	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	2667	3797	+					dnaN		E5225_RS00010	1131		old_locus_tag=E5225_00010
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	2667	3797	+	WP_135972195.1	WP_135972195.1		DNA polymerase III subunit beta	dnaN		E5225_RS00010	1131	376	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	3926	4855	+					gnd		E5225_RS00015	930		old_locus_tag=E5225_00015
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	3926	4855	+	WP_135972196.1	WP_135972196.1		decarboxylating 6-phosphogluconate dehydrogenase	gnd		E5225_RS00015	930	309	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	4864	6075	+					recF		E5225_RS00020	1212		old_locus_tag=E5225_00020
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	4864	6075	+	WP_135972197.1	WP_135972197.1		DNA replication/repair protein RecF	recF		E5225_RS00020	1212	403	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	6065	6748	+							E5225_RS00025	684		old_locus_tag=E5225_00025
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	6065	6748	+	WP_243738077.1	WP_243738077.1		DciA family protein			E5225_RS00025	684	227	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	7052	9076	+					gyrB		E5225_RS00030	2025		old_locus_tag=E5225_00030
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	7052	9076	+	WP_135972227.1	WP_135972227.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		E5225_RS00030	2025	674	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	9131	11782	+					gyrA		E5225_RS00035	2652		old_locus_tag=E5225_00035
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	9131	11782	+	WP_135972198.1	WP_135972198.1		DNA gyrase subunit A	gyrA		E5225_RS00035	2652	883	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	12100	12876	+							E5225_RS00040	777		old_locus_tag=E5225_00040
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	12100	12876	+	WP_244243674.1	WP_244243674.1		DUF3566 domain-containing protein			E5225_RS00040	777	258	
gene	tRNA	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13007	13080	+							E5225_RS00045	74		old_locus_tag=E5225_00045
tRNA		GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13007	13080	+				tRNA-Ile			E5225_RS00045	74		anticodon=GAT
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13139	13258	+							E5225_RS17810	120		
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13139	13258	+	WP_243738078.1	WP_243738078.1		DLW-39 family protein			E5225_RS17810	120	39	
gene	tRNA	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13307	13379	+							E5225_RS00050	73		old_locus_tag=E5225_00050
tRNA		GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	13307	13379	+				tRNA-Ala			E5225_RS00050	73		anticodon=TGC
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	14346	17177	+							E5225_RS00060	2832		old_locus_tag=E5225_00060
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	14346	17177	+	WP_135972201.1	WP_135972201.1		hypothetical protein			E5225_RS00060	2832	943	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	17174	18283	+							E5225_RS00065	1110		old_locus_tag=E5225_00065
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	17174	18283	+	WP_135972202.1	WP_135972202.1		hypothetical protein			E5225_RS00065	1110	369	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	18280	19149	+							E5225_RS00070	870		old_locus_tag=E5225_00070
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	18280	19149	+	WP_135972203.1	WP_135972203.1		hypothetical protein			E5225_RS00070	870	289	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	19146	19433	+							E5225_RS00075	288		old_locus_tag=E5225_00075
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	19146	19433	+	WP_135972204.1	WP_135972204.1		hypothetical protein			E5225_RS00075	288	95	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	19617	21077	+							E5225_RS00080	1461		old_locus_tag=E5225_00080
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	19617	21077	+	WP_135972205.1	WP_135972205.1		DNA cytosine methyltransferase			E5225_RS00080	1461	486	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	21155	21550	+							E5225_RS00085	396		old_locus_tag=E5225_00085
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	21155	21550	+	WP_135972206.1	WP_135972206.1		very short patch repair endonuclease			E5225_RS00085	396	131	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	21726	22073	-							E5225_RS00090	348		old_locus_tag=E5225_00090
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	21726	22073	-	WP_135972207.1	WP_135972207.1		UBP-type zinc finger domain-containing protein			E5225_RS00090	348	115	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	22070	23590	-							E5225_RS00095	1521		old_locus_tag=E5225_00095
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	22070	23590	-	WP_243738079.1	WP_243738079.1		ATP-binding protein			E5225_RS00095	1521	506	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	23587	25266	-							E5225_RS00100	1680		old_locus_tag=E5225_00100
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	23587	25266	-	WP_135972208.1	WP_135972208.1		FAD-dependent oxidoreductase			E5225_RS00100	1680	559	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	25348	26049	-							E5225_RS00105	702		old_locus_tag=E5225_00105
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	25348	26049	-	WP_135972209.1	WP_135972209.1		GNAT family N-acetyltransferase			E5225_RS00105	702	233	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	26311	28956	-							E5225_RS00110	2646		old_locus_tag=E5225_00110
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	26311	28956	-	WP_135972210.1	WP_135972210.1		glycoside hydrolase family 9 protein			E5225_RS00110	2646	881	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	29254	30237	-							E5225_RS00115	984		old_locus_tag=E5225_00115
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	29254	30237	-	WP_208012445.1	WP_208012445.1		hypothetical protein			E5225_RS00115	984	327	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	30388	30927	+							E5225_RS00120	540		old_locus_tag=E5225_00120
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	30388	30927	+	WP_135972211.1	WP_135972211.1		peptidylprolyl isomerase			E5225_RS00120	540	179	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	30929	31804	+							E5225_RS00125	876		old_locus_tag=E5225_00125
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	30929	31804	+	WP_135972229.1	WP_135972229.1		rhomboid family intramembrane serine protease			E5225_RS00125	876	291	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	31961	32212	-							E5225_RS00130	252		old_locus_tag=E5225_00130
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	31961	32212	-	WP_135972212.1	WP_135972212.1		cell division protein CrgA			E5225_RS00130	252	83	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	32400	33254	+							E5225_RS00135	855		old_locus_tag=E5225_00135
CDS	with_protein	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	32400	33254	+	WP_243738080.1	WP_243738080.1		DUF881 domain-containing protein			E5225_RS00135	855	284	
gene	protein_coding	GCF_004798685.1	Primary Assembly	chromosome		NZ_CP039291.1	33251	34051	+							E5225_RS00140	801		old_locus_tag=E5225_00140
